Data;Giornata;Fonte;Tema;Citazione;Author;Note;JS
08-mag;International Red Cross Day;https://icrc.org;Umanitario;Ogni passo verso il cambiamento in umanitario nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""umanitario"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in umanitario nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""umanitario\"" e falla entro stasera, anche se è minuscola.""
},"
12-mag;International Nurses Day;https://icn.ch;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
15-mag;International Day of Families;https://un.org;Famiglia;Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""famiglia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""famiglia\"" e falla entro stasera, anche se è minuscola.""
},"
17-mag;World Telecommunication Day;https://itu.int;Tecnologia;Ogni passo verso il cambiamento in tecnologia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""tecnologia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in tecnologia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""tecnologia\"" e falla entro stasera, anche se è minuscola.""
},"
21-mag;World Day for Cultural Diversity;https://un.org;Cultura;Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""cultura"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""cultura\"" e falla entro stasera, anche se è minuscola.""
},"
22-mag;International Day for Biological Diversity;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
31-mag;World No Tobacco Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
01-giu;Global Day of Parents;https://un.org;Famiglia;Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""famiglia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""famiglia\"" e falla entro stasera, anche se è minuscola.""
},"
05-giu;World Environment Day;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
08-giu;World Oceans Day;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
12-giu;World Day Against Child Labour;https://ilo.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
14-giu;World Blood Donor Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
15-giu;World Elder Abuse Awareness Day;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
20-giu;World Refugee Day;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
21-giu;International Yoga Day;https://un.org;Benessere;Ogni passo verso il cambiamento in benessere nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""benessere"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in benessere nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""benessere\"" e falla entro stasera, anche se è minuscola.""
},"
26-giu;International Day Against Drug Abuse;https://un.org;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
30-giu;International Asteroid Day;https://un.org;Scienza;Ogni passo verso il cambiamento in scienza nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""scienza"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in scienza nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""scienza\"" e falla entro stasera, anche se è minuscola.""
},"
01-lug;International Joke Day;misc;Cultura;Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""cultura"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""cultura\"" e falla entro stasera, anche se è minuscola.""
},"
11-lug;World Population Day;https://un.org;Società;Ogni passo verso il cambiamento in società nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""società"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in società nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""società\"" e falla entro stasera, anche se è minuscola.""
},"
15-lug;World Youth Skills Day;https://un.org;Giovani;Ogni passo verso il cambiamento in giovani nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""giovani"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in giovani nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""giovani\"" e falla entro stasera, anche se è minuscola.""
},"
18-lug;Nelson Mandela International Day;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
28-lug;World Hepatitis Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
30-lug;International Day of Friendship;https://un.org;Sociale;Ogni passo verso il cambiamento in sociale nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""sociale"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in sociale nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""sociale\"" e falla entro stasera, anche se è minuscola.""
},"
09-ago;International Day of Indigenous Peoples;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
12-ago;International Youth Day;https://un.org;Giovani;Ogni passo verso il cambiamento in giovani nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""giovani"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in giovani nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""giovani\"" e falla entro stasera, anche se è minuscola.""
},"
19-ago;World Humanitarian Day;https://un.org;Umanitario;Ogni passo verso il cambiamento in umanitario nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""umanitario"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in umanitario nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""umanitario\"" e falla entro stasera, anche se è minuscola.""
},"
21-ago;International Day of Remembrance of Terrorism Victims;https://un.org;Pace;Ogni passo verso il cambiamento in pace nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""pace"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in pace nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""pace\"" e falla entro stasera, anche se è minuscola.""
},"
29-ago;International Day Against Nuclear Tests;https://un.org;Pace;Ogni passo verso il cambiamento in pace nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""pace"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in pace nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""pace\"" e falla entro stasera, anche se è minuscola.""
},"
